code,current_name,rubric,conf,from_web_override
10231,Туалетная вода soul,Парфюмерия,,False
10919,Мужская туалетная вода ascendant,Парфюмерия,,False
11037,Туалетная вода ascendant (пробник),Парфюмерия,,False
111249,Фильтр для воды,Товары для дома и подарки,high,True
11355,Туалетная вода divine,Парфюмерия,,False
11365,Парфюмерная вода amber elixir,Парфюмерия,,False
11367,Парфюмерная вода amber elixir,Парфюмерия,,False
114186,"Набор "" Восстановление упругости """,Наборы,,False
114784,"Набор "" Нежность """,Наборы,,False
115329,Набор для ухода за руками,Наборы,,False
115518,"Набор "" Эластичность+ """,Наборы,,False
115520,"Набор "" Эксперт - здоровое сияние """,Наборы,,False
115521,"Набор "" Эксперт - восстановление """,Наборы,,False
115537,Парфюмерный набор power woman,Наборы,,False
115538,Набор volare,Наборы,,False
115539,Набор eclat homme,Наборы,,False
115540,"Набор "" Восстановление упругости """,Наборы,,False
115541,Набор the one,Наборы,,False
115542,"Набор для укрепления волос "" Эксперт - красота и сила """,Наборы,,False
115543,"Набор "" Норд """,Наборы,,False
115544,"Набор "" Активный кислород """,Наборы,,False
115839,"Набор для волос "" Молоко и мёд - золотая серия """,Наборы,,False
115936,"Набор "" Эластичность + """,Наборы,,False
115937,"Набор "" Человек-паук """,Наборы,,False
115938,"Набор "" Холодное сердце """,Наборы,,False
116395,Набор giordani gold,Наборы,,False
116396,Парфюмерный набор divine,Наборы,,False
116397,Парфюмерный набор eclat homme,Наборы,,False
116398,Парфюмерный набор eclat femme,Наборы,,False
116399,"Набор "" Свежесть исландии """,Наборы,,False
116400,"Набор "" Бразильское приключение """,Наборы,,False
116401,"Набор "" Пляжи майами """,Наборы,,False
116402,"Набор для ног "" Актив-уход """,Наборы,,False
116403,"Набор "" Яблоко и корица """,Наборы,,False
116404,Набор для ногтей the one,Наборы,,False
116406,Набор для губ и ресниц the one,Наборы,,False
116408,"Набор для умывания "" Чайное дерево """,Наборы,,False
116409,"Набор "" Люцерна """,Наборы,,False
116410,"Набор "" Бузина и яблоко """,Наборы,,False
116411,"Набор "" Малина и мята """,Наборы,,False
116412,"Набор "" Ананас и шалфей """,Наборы,,False
116413,"Набор "" Эксперт - здоровое сияние """,Наборы,,False
116414,"Набор "" Эксперт - баланс """,Наборы,,False
116415,Парфюмерный набор paradise,Наборы,,False
116417,"Набор "" Оптифреш """,Наборы,,False
116418,Набор ascendant,Наборы,,False
116419,Набор s8 night,Наборы,,False
116420,Парфюмерный набор possess,Наборы,,False
116750,Набор «шведский spa-салон»,Наборы,,False
116866,"Набор "" Защита и осветление """,Наборы,,False
116867,Прафюмерный набор giordani gold originale,Наборы,,False
116868,"Набор для лица "" Молоко и мёд - золотая серия """,Наборы,,False
116869,"Набор "" Новая мечта """,Наборы,,False
117267,"Набор "" Весенний букет """,Наборы,,False
117268,Набор lucia,Наборы,,False
117269,Набор eclat femme,Наборы,,False
117278,Набор possess,Наборы,,False
117279,Набор the one,Наборы,,False
117280,Парфюмерный набор giordani gold man,Наборы,,False
117281,Парфюмерный набор signature,Наборы,,False
117285,Набор для ногтей the one,Наборы,,False
117577,"Набор "" Эластичность+ """,Наборы,,False
117578,"Набор "" Активный кислород """,Наборы,,False
117579,Набор tenderly,Наборы,,False
117580,"Набор "" Бриллианты и жемчуг """,Наборы,,False
117790,Набор для бритья «шелковая нежность»,Наборы,,False
117791,Набор «защита и осветление»,Наборы,,False
117792,Набор для жирной кожи «активный кислород»,Наборы,,False
117973,Набор amber elixir,Наборы,,False
117974,"Набор "" Шёлковая нежность """,Наборы,,False
118057,Монопод для селфи,Аксессуары,high,True
