Полка;Код;Наименование (из справочника);Кол-во;Срок годности;Срок (как в записи);Комментарий;Файл-источник;Проверить
47;32503;Туалетная вода venture;2;;;полка 47;IMG_7711;
47;10231;Туалетная вода soul;1;;;полка 47;IMG_7711;
47;30468;Туалетная вода be the legend;1;;;полка 47;IMG_7711;
47;25488;Туалетная вода rival;2;;;полка 47;IMG_7711;
47;19639;Туалетная вода flamboyant;1;;;полка 47;IMG_7711;
47;31288;Туалетная вода signature zoom;1;;;полка 47;IMG_7711;
47;17540;Туалетная вода excite by dima bilan;1;;;полка 47;IMG_7711;
47;32950;Туалетная вода eclat lui;1;;;полка 47;IMG_7711;
59;34301;Тонизирующее средство для умывания optimals radiance;2;2021-02-28;02/21;полка 59;IMG_7712;
59;34301;Тонизирующее средство для умывания optimals radiance;1;2021-08-31;08/21;полка 59;IMG_7712;
59;33224;Пенка для умывания против пигментации even out;1;2020-02-29;02/20;полка 59;IMG_7712;
59;30840;Очищающий скраб для лица «шведский spa-салон»;1;2019-04-30;04/19;полка 59;IMG_7712;
59;30840;Очищающий скраб для лица «шведский spa-салон»;1;2020-08-31;08/20;полка 59;IMG_7712;
59;20372;"Очищающая маска для лица "" Шведский spa салон """;1;2020-07-31;07/20;полка 59;IMG_7712;
59;34031;Скраб для лица «огурец»;1;2022-02-28;02/22;полка 59;IMG_7712;
59;34165;Скраб для лица «кокосовая вода»;2;2022-01-31;01/22;полка 59;IMG_7713;
59;30162;"Крем для кожи вокруг глаз "" Шиповник """;107;2019-05-31;05/19;полка 59;IMG_7713;кол-во записано как «107» («10»+«7») — сверить, необычно много
59;25264;"Крем для век "" Невероятный эффект """;35;2018-03-31;03/18;полка 59;IMG_7713;
59;32464;Увлажняющий крем для век для всех типов кожи optimals hydra;1;2021-06-30;06/21;полка 59;IMG_7713;
59;34002;Очищающая мицеллярная вода optimals hydra;4;2023-11-30;11/23;полка 59;IMG_7713;
59;34002;Очищающая мицеллярная вода optimals hydra;1;2021-08-31;08/21;полка 59;IMG_7713;
59;32417;Антивозрастной тоник optimals age revive;2;2020-11-30;11/20;полка 59;IMG_7713;
59;35408;Тоник для нормальной и комбинированной кожи optimals hydra radiance;4;2023-08-31;08/23;полка 59;IMG_7713;
59;35463;Тоник против пигментации optimals even out;1;2022-08-31;08/22;полка 59;IMG_7713;
59;35463;Тоник против пигментации optimals even out;1;2023-08-31;08/23;полка 59;IMG_7713;
59;35685;Антивозрастной тоник optimals age revive;1;2022-08-31;08/22;полка 59;IMG_7713;
59;32478;Защитный крем-флюид против пигментации spf 35 optimals even out;2;2023-11-30;11/23;полка 59;IMG_7714;
59;32478;Защитный крем-флюид против пигментации spf 35 optimals even out;1;2023-08-31;08/23;полка 59;IMG_7714;
59;32477;Антивозрастная сыворотка для лица optimals age revive;3;;;полка 59;IMG_7714;
59;32477;Антивозрастная сыворотка для лица optimals age revive;15;2020-11-30;11/20;полка 59;IMG_7714;
59;32465;Матирующий дневной крем-флюид для жирной кожи optimals hydra;1;2021-12-31;12/21;полка 59;IMG_7714;
59;32465;Матирующий дневной крем-флюид для жирной кожи optimals hydra;1;2023-09-30;09/23;полка 59;IMG_7714;
59;32973;Многофункц. сс-крем против пигментации spf 30 optimals even out - естественный беж;1;2023-08-31;08/23;полка 59;IMG_7714;
59;32973;Многофункц. сс-крем против пигментации spf 30 optimals even out - естественный беж;1;2020-07-31;07/20;полка 59;IMG_7714;
59;33108;Сыворотка против пигментации optimals even out;2;;;полка 59;IMG_7714;
59;33135;Увлажняющая сыворотка для лица для всех типов кожи optimals hydra;1;2023-02-28;02/23;полка 59;IMG_7714;
59;30346;"Многофункц. сс крем, выравнивающий тон кожи "" Защита и осветление "" - натуральный";1;2018-04-30;04/18;полка 59;IMG_7714;
59;35418;Обновляющий бустер для лица optimals;1;2022-12-31;12/22;полка 59;IMG_7714;
59;35418;Обновляющий бустер для лица optimals;5;2022-07-31;07/22;полка 59;IMG_7714;
59;35418;Обновляющий бустер для лица optimals;2;2025-08-31;08/25;полка 59;IMG_7714;
59;35416;Энергетический бустер для лица optimals;4;2022-08-31;08/22;полка 59;IMG_7714;
59;34017;Питательный бустер для лица optimals;1;2022-12-31;12/22;полка 59;IMG_7714;вторая партия «2 - 06/66»: год 66 явно описка
59;34017;Питательный бустер для лица optimals;2;2026-06-30;06/66;полка 59;IMG_7714;"срок на листе «06/66» прочитан как 06/26 — исправлено по решению оператора; вторая партия «2 - 06/66»: год 66 явно описка"
59;34303;Тонизирующий гель-крем для лица optimals radiance;1;2021-06-30;06/21;полка 59;IMG_7714;
59;34303;Тонизирующий гель-крем для лица optimals radiance;1;2024-02-29;02/24;полка 59;IMG_7714;
59;35918;Успокаивающий бустер для лица optimals;1;2025-04-30;04/25;полка 59;IMG_7714;
59;32465;Матирующий дневной крем-флюид для жирной кожи optimals hydra;1;;;полка 59;IMG_7714;
39;31113;Мыло «валентинов день»;20;;;полка 39;IMG_7715;
39;35889;Обновляющее мыло beautanicals;3;2023-07-31;07/23;полка 39;IMG_7715;
39;35889;Обновляющее мыло beautanicals;2;2023-01-31;01/23;полка 39;IMG_7715;
39;30895;"Мыло "" Яблоко и корица """;8;;;полка 39;IMG_7715;
39;35439;Мыло «нежная роза»;7;2021-12-31;12/21;полка 39;IMG_7715;
39;21585;Мыло «шёлковая орхидея»;3;2016-08-31;08/16;полка 39;IMG_7715;
39;35938;Мыло «маракуйя и ананас»;3;2023-09-30;09/23;полка 39;IMG_7715;
39;35923;Мыло для лица и тела fairness essentials;2;2023-12-31;12/23;полка 39;IMG_7715;
39;35923;Мыло для лица и тела fairness essentials;1;2024-09-30;09/24;полка 39;IMG_7715;
39;23272;"Мыло для чувствительной кожи "" Нежная ромашка """;2;2018-01-31;01/18;полка 39;IMG_7715;
39;41489;Бодрящее мыло с органической кокосовой водой и дыней love nature;2;2025-03-31;03/25;полка 39;IMG_7715;
39;33532;Мыло «макарун»;2;;;полка 39;IMG_7716;
39;42922;Не опознан (код 42922);2;2022-02-28;02/22;полка 39;IMG_7716;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
39;42922;Не опознан (код 42922);1;2024-08-31;08/24;полка 39;IMG_7716;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
39;38485;Мыло love is in the air;2;2024-11-30;11/24;полка 39;IMG_7716;
39;32607;Мыло «авокадо»;1;2020-11-30;11/20;полка 39;IMG_7716;
39;32607;Мыло «авокадо»;1;2021-08-31;08/21;полка 39;IMG_7716;
39;32611;Отшелушивающее мыло «клубника и лайм»;2;2021-11-30;11/21;полка 39;IMG_7716;
39;32604;Мыло «малина и мята»;2;2021-06-30;06/21;полка 39;IMG_7716;
39;32847;"Мыло "" Пралине """;2;2019-10-31;10/19;полка 39;IMG_7716;
39;24710;Мыло «бразильский орех»;2;;;полка 39;IMG_7716;
98;31493;Парфюмерная вода love potion secrets;1;;;полка 98;IMG_7717;
98;31236;Туалетная вода eclat homme sport;3;;;полка 98;IMG_7717;
98;33957;Парфюмерная вода eclat mon parfum;2;;;полка 98;IMG_7717;
98;38540;Духи signature for her;1;;;полка 98;IMG_7717;
98;23624;Парфюмерная вода more by demi;1;;;полка 98;IMG_7717;
98;23853;Парфюмерная вода paradise;1;;;полка 98;IMG_7717;
98;26761;Парфюмерная вода vip night;1;;;полка 98;IMG_7717;
98;25072;Туалетная вода lovely betty;1;;;полка 98;IMG_7717;
48;22442;Женская парфюмерная вода love potion;1;;;полка 48;IMG_7718;
48;32677;Туалетная вода si magnifique!;1;;;полка 48;IMG_7718;
48;13854;Туалетная вода miss o club prive;1;;;полка 48;IMG_7718;
48;31119;Туалетная вода elvie firefly;1;;;полка 48;IMG_7718;
48;31293;Туалетная вода eclat femme weekend;1;;;полка 48;IMG_7718;
48;31870;Туалетная вода stardust;1;;;полка 48;IMG_7718;
48;33349;Туалетная вода men´s collection cool lavender;1;;;полка 48;IMG_7718;
48;32440;Туалетная вода women's collection cherry blossom;1;;;полка 48;IMG_7718;
48;32438;Туалетная вода women's collection white lilac;1;;;полка 48;IMG_7718;
48;33168;Женская туалетная вода women´s collection sensual jasmine;1;;;полка 48;IMG_7718;
48;30467;Туалетная вода athena sensual breeze;1;;;полка 48;IMG_7718;
48;32440;Туалетная вода women's collection cherry blossom;1;;;полка 48;IMG_7718;
48;32571;Туалетная вода miss o. мини-спрей;1;;;полка 48;IMG_7718;
48;32957;Парфюмерная вода vip only (мини-спрей);1;;;полка 48;IMG_7718;
46;31543;Сыворотка-лифтинг для лица и шеи novage ultimate lift;1;2019-11-30;11/19;полка 46;IMG_7719;
46;38828;Очищающее масло для умывания novage;2;2024-09-30;09/24;полка 46;IMG_7719;
46;38828;Очищающее масло для умывания novage;11;2022-12-31;12/22;полка 46;IMG_7719;
46;33988;Обновляющий пилинг для лица novage;4;2023-04-30;04/23;полка 46;IMG_7719;
46;33988;Обновляющий пилинг для лица novage;1;2023-10-31;10/23;полка 46;IMG_7719;
46;33988;Обновляющий пилинг для лица novage;1;2022-04-30;04/22;полка 46;IMG_7719;
46;33988;Обновляющий пилинг для лица novage;2;2024-02-29;02/24;полка 46;IMG_7719;
46;33987;Увлажняющая эссенция для лица novage;8;2023-06-30;06/23;полка 46;IMG_7719;
46;33987;Увлажняющая эссенция для лица novage;3;2023-08-31;08/23;полка 46;IMG_7719;
46;33987;Увлажняющая эссенция для лица novage;1;2023-07-31;07/23;полка 46;IMG_7719;
46;33987;Увлажняющая эссенция для лица novage;1;2023-06-30;06/23;полка 46;IMG_7719;
46;40880;Сыворотка-концентрат для повышения упругости кожи с пептидами novage proceuticals;8;2024-01-31;01/24;полка 46;IMG_7719;
44;38490;Не опознан (код 38490);2;2023-12-31;12/23;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
44;38490;Не опознан (код 38490);2;2023-01-31;01/23;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
44;38490;Не опознан (код 38490);1;2023-11-30;11/23;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
44;38490;Не опознан (код 38490);1;2023-04-30;04/23;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
44;38490;Не опознан (код 38490);2;2023-08-31;08/23;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
44;38490;Не опознан (код 38490);2;2023-07-31;07/23;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
44;38490;Не опознан (код 38490);4;2023-09-30;09/23;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
44;38490;Не опознан (код 38490);10;2024-06-30;06/24;полка 44;IMG_7719;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
40;23272;"Мыло для чувствительной кожи "" Нежная ромашка """;55;2018-01-31;01/18;полка 40;IMG_7720;
40;32843;Мыло «пряный цитрус»;42;2023-06-30;06/23;полка 40;IMG_7720;
40;34021;Массажное мыло-скраб swedish spa;2;2024-08-31;08/24;полка 40;IMG_7720;
40;34021;Массажное мыло-скраб swedish spa;2;2023-02-28;02/23;полка 40;IMG_7720;
40;34021;Массажное мыло-скраб swedish spa;3;2023-10-31;10/23;полка 40;IMG_7720;
40;36193;Мыло «нежный букет»;1;2021-11-30;11/21;полка 40;IMG_7720;
40;30941;Мыло «маскарад»;1;2021-07-31;07/21;полка 40;IMG_7720;
40;35849;Мыло «весенний букет»;1;2022-01-31;01/22;полка 40;IMG_7720;
40;32844;Мыло «морское путешествие»;29;2019-03-31;03/19;полка 40;IMG_7720;
40;32843;Мыло «пряный цитрус»;12;2023-06-30;06/23;полка 40;IMG_7720;
33;34885;Мыло «утиные истории»;8;2022-05-31;05/22;полка 33;IMG_7721;
33;35838;Мыло «мини-маппеты»;8;2023-09-30;09/23;полка 33;IMG_7721;
33;30931;Мыло «феи»;1;;;полка 33;IMG_7721;
33;26416;Мыло «русалочка ариэль»;5;;;полка 33;IMG_7721;
33;32826;Мыло «звездные войны»;3;;;полка 33;IMG_7721;
33;35839;Мыло «король лев»;1;2023-09-30;09/23;полка 33;IMG_7721;
33;34083;Мыло «микки маус»;1;2021-12-31;12/21;полка 33;IMG_7721;
33;39356;Мыло «винни-пух»;1;2024-03-31;03/24;полка 33;IMG_7721;
60;33445;Специальное смягчающее средство с маслом черники;74;2024-06-30;06/24;полка 60;IMG_7722;
60;34032;Маска для лица «огурец»;11;2024-02-29;02/24;полка 60;IMG_7722;
60;34032;Маска для лица «огурец»;1;2023-04-30;04/23;полка 60;IMG_7722;
60;34032;Маска для лица «огурец»;9;2022-02-28;02/22;полка 60;IMG_7722;
60;34033;Крем-гель для лица «огурец»;6;2024-02-29;02/24;полка 60;IMG_7722;
60;34033;Крем-гель для лица «огурец»;13;2022-02-28;02/22;полка 60;IMG_7722;
40;30355;Скраб-мыло для ног «лимон и лаванда»;68;2017-01-31;01/17;полка 40;IMG_7723;
40;32847;"Мыло "" Пралине """;7;;;полка 40;IMG_7723;
33;30931;Мыло «феи»;4;;;полка 33;IMG_7724;
65;33469;Шампунь и кондиционер 2-в-1 «моана»;129;;;полка 65;IMG_7725;
65;33469;Шампунь и кондиционер 2-в-1 «моана»;80;2020-10-31;10/20;полка 65;IMG_7725;
65;34884;Бальзам для губ «рапунцель: новая история»;50;2022-07-31;07/22;полка 65;IMG_7725;
64;33469;Шампунь и кондиционер 2-в-1 «моана»;35;2020-10-31;10/20;полка 64;IMG_7726;
64;33469;Шампунь и кондиционер 2-в-1 «моана»;26;;;полка 64;IMG_7727;кол-во 26 — вторая цифра исправлена поверх
64;34080;Шампунь и кондиционер 2-в-1 «минни маус»;25;2021-11-30;11/21;полка 64;IMG_7727;
86;35778;Адаптивная тон. основа the one everlasting sync spf 30 - холодный алебастровый;49;2022-12-31;12/22;полка 86;IMG_7728;
86;35785;Тональная основа - Естественный беж;27;2023-08-31;08/23;полка 86;IMG_7728;
83;30556;"Рассыпчатая пудра "" Прикосновение безупречности "" Giordani gold - естественный";1;2023-06-30;06/23;полка 83;IMG_7729;
83;31808;Компактная минеральная пудра giordani gold - светлый;5;2022-07-31;07/22;полка 83;IMG_7729;
83;33300;Антивозрастная основа-эликсир под макияж giordani gold;25;2021-07-31;07/21;полка 83;IMG_7729;
83;22722;Тональная основа «адаптив» - слоновая кость;1;2016-01-31;01/16;полка 83;IMG_7729;
83;30423;Тон. основа «прикосновение безупречности» gg - нежный ванильный;1;2016-10-31;10/16;полка 83;IMG_7729;
83;2393;Тональный крем Giordani Gold Age Defying SPF 8 — Light Ivory;1;2013-09-30;09/13;полка 83;IMG_7729;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
83;31592;Компактная матирующая пудра the one matte velvet - фарфоровый;1;2022-08-31;08/22;полка 83;IMG_7729;
83;31592;Компактная матирующая пудра the one matte velvet - фарфоровый;1;2020-06-30;06/20;полка 83;IMG_7729;
83;15824;Не опознан (код 15824);1;2011-03-31;03/11;полка 83;IMG_7729;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
83;30424;Тональная основа Giordani Gold Invisible Perfect — Слоновая кость;1;2017-02-28;02/17;полка 83;IMG_7729;
